Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
quad,1.12,-x,,23,19,1 047 663 166,31.7,794.53,100,156.98,100,15m 52s,26,29/13,72,56/152,0,0/0,1 047 637 026,34,35
7-zip,4.2,,,11,9,876 512 349,26.6,1557.67,100,131.62,99,28m  9s,100,100/100,72,51/320,10,10/10,876 335 086,35,8
szip,1.12,,,17,28,1 107 844 737,33.6,410.47,100,382.15,100,13m 13s,16,29/3,71,89/51,0,0/0,1 107 817 574,9,10
bssc,0.95a,-b16383,,18,22,991 289 506,30,803.95,100,354.64,100,19m 19s,41,54/10,71,67/81,1,2/0,991 243 610,139,82
blizzard,0.24b,c 100000000,,12,17,912 765 871,27.7,804.64,100,704.69,100,25m  9s,75,129/12,71,87/53,5,9/1,912 752 471,577,576
sbc,0.970r3,-m1 -b63 -of -ad,,14,21,936 774 698,28.4,866.16,100,545.69,100,23m 32s,61,92/12,70,75/63,3,5/1,936 661 460,198,197
zcm,0.50ai,-m5,***,1,3,692 818 251,21,1603.69,100,1570.61,100,52m 54s,410,748/65,70,91/49,316,576/50,692 689 644,474,474
info-zip,2.3,-8,,18,21,1 253 854 441,38,383.15,100,117.5,99,8m 21s,5,6/2,69,59/102,0,0/0,1 253 830 889,5,2
gzip,1.3.3,-9,,21,5,1 225 452 814,37.1,515.95,100,34.25,100,9m 10s,6,6/8,69,48/384,0,0/0,1 225 415 781,2,2
mcomp,2,-M112M -mw,,14,22,953 879 069,28.9,710.36,100,687.74,100,23m 18s,51,93/8,67,86/47,2,4/0,953 738 443,566,565
flashzip,0.99c3,-m3 -c7 -b5,,6,5,824 508 814,25,2009.33,389,157.23,100,36m  7s,139,138/149,66,47/319,25,25/27,824 261 508,366,341
winace,2.6,-d4096 -m5,,11,15,897 631 771,27.2,1447.73,97,249.72,84,28m 17s,79,85/42,66,51/157,6,7/3,897 587 758,39,11
yzx,0.02,-m2 -c4 -b4,,12,12,889 588 465,27,1618.55,100,151.9,100,29m 30s,83,83/75,65,47/265,7,7/6,889 471 283,397,71
nanozip,0.07a,-m.5g -cO,½**,3,2,673 630 013,20.4,3127.94,100,536.79,100,1h  1m  5s,440,475/234,65,50/154,419,453/223,673 512 718,581,381
hook,1.4,55,,18,25,1 004 598 181,30.4,667.73,100,545.29,100,20m 13s,34,56/6,65,77/50,1,1/0,1 004 566 333,166,166
grzipii,0.24,,,19,26,1 021 048 323,30.9,612.37,100,571.29,100,19m 44s,29,51/5,63,80/46,1,1/0,1 020 990 749,54,32
sr,3c,,,16,26,1 191 877 006,36.1,349.78,100,323.99,100,11m 14s,8,13/1,63,79/45,0,0/0,1 191 870 189,6,6
balz,1.15,ex,,17,20,963 568 086,29.2,1245.47,100,183.14,100,23m 49s,45,48/27,63,47/172,2,2/1,963 535 157,66,66
jar,1.02,-m3,,25,21,1 074 037 026,32.5,837.8,99,168.92,97,16m 47s,19,21/9,62,49/129,0,0/0,1 073 880 254,9,5
jar,1.02,-m4,,26,20,1 051 791 194,31.9,911.62,99,168.14,97,18m  0s,22,24/11,62,48/140,0,0/0,1 051 634 422,15,7
grzipii,0.24,-b8m -m1,,19,26,1 013 868 721,30.7,652.69,100,583.08,100,20m 36s,30,52/5,62,76/46,1,1/0,1 013 811 147,85,50
ccm,1.30c,x 5,*,4,4,729 932 323,22.1,1650.23,100,1587.67,100,53m 58s,266,481/42,61,78/43,136,245/22,729 919 279,533,533
grzipii,0.24,-a -b8m -m3,,19,27,1 047 742 959,31.7,573.64,100,563.14,100,18m 57s,22,40/3,60,78/42,0,1/0,1 047 685 385,58,51
uharc,0.6b,-mdp -m1,,5,5,791 477 304,24,2437.19,100,374,100,46m 51s,155,164/91,57,43/150,40,42/23,791 367 562,295,36
bma,1.35b,,,20,27,1 065 270 990,32.3,619.45,100,503.75,96,18m 43s,18,31/3,57,68/45,0,0/0,1 065 226 801,45,46
flashzip,0.99c2,-m3 -c7 -b5,,6,6,824 392 933,25,2452.31,100,160.14,100,43m 32s,115,113/147,55,38/313,21,20/26,824 261 508,365,340
grzipii,0.24,-p -b8m -m1,,21,27,1 025 363 799,31.1,757.39,100,615.77,100,22m 53s,24,39/4,54,63/42,0,1/0,1 025 306 225,89,50
ybs,0.3f,-m16m,,25,26,1 037 651 678,31.4,871.16,100,450.17,100,22m  1s,21,30/5,54,53/55,0,0/0,1 037 614 031,146,82
info-zip,2.3,-9,,22,20,1 235 998 960,37.5,562.22,100,117.33,99,11m 20s,5,5/2,54,42/108,0,0/0,1 235 975 408,5,2
dark,0.51,p-b118m,,21,27,1 063 628 831,32.2,669.26,100,521.06,100,19m 50s,18,29/3,54,63/43,0,0/0,1 063 597 340,481,480
xwrt,3.2,-l6 +d -f65535 -m32,,9,8,857 988 198,26,2303.92,100,129.11,100,40m 33s,85,83/125,53,36/347,10,10/15,857 471 930,170,105
xwrt,3.2,-l6 -b32 -m32,,7,7,857 480 793,26,2305.62,100,128.76,100,40m 34s,86,83/126,53,36/349,11,10/16,857 354 479,186,106
grzip,0.7.3,,,22,28,1 026 252 740,31.1,786.58,100,634.05,100,23m 41s,23,37/4,52,61/40,0,1/0,1 026 211 825,87,44
rzm,0.07h,,*,5,3,771 921 245,23.4,3173.41,100,217.2,99,56m 31s,159,157/194,51,35/275,51,50/62,771 905 388,260,131
grzip,0.7.3,-a -i,,24,27,1 037 454 711,31.4,823.25,100,584.91,100,23m 28s,20,32/4,50,56/42,0,1/0,1 037 413 796,86,44
bix,1.00b7,,,27,11,1 063 011 550,32.2,1227.3,100,70.86,98,21m 38s,16,16/23,50,35/319,0,0/0,1 062 951 723,19,11
uharc,0.6b,-mdp -m2,½,5,4,780 467 656,23.7,3051.99,100,371.22,100,57m  3s,144,148/103,49,36/156,42,43/30,780 357 914,295,36
squeez,5.62,-m5,,13,19,930 059 173,28.2,1801.87,100,305.76,99,35m  8s,44,48/24,48,37/115,2,3/1,929 862 682,41,17
qazar,0.0pre5,,,23,28,1 078 728 064,32.7,765.47,100,512.79,100,21m 18s,14,22/3,48,53/42,0,0/0,1 078 668 395,38,38
ppmd,Jr1,,,20,29,1 089 458 583,33,606.67,100,687.75,100,21m 34s,12,24/2,46,64/30,0,0/0,1 089 434 089,12,12
zcm,0.11,c5,*,4,4,724 123 309,21.9,2232.44,100,2197.95,100,1h 13m 50s,207,380/33,45,59/32,113,206/18,724 091 684,428,428
flzp,1,,,12,10,1 671 107 339,50.6,149.92,100,38.22,100,3m  8s,0,0/0,45,37/78,0,0/0,1 671 103 117,10,10
uharc,0.6b,-mdp -m3,½,7,4,774 962 651,23.5,3519.69,100,367.72,100,1h  4m 47s,134,137/111,44,31/161,42,42/34,774 852 909,295,36
uharc,0.6b,-mw,,12,27,1 529 667 693,46.4,186.8,100,141.81,99,5m 29s,0,1/0,42,48/34,0,0/0,1 529 557 951,6,6
bcm,0.05,-b120000,,16,24,958 974 364,29.1,1176.42,100,1086.59,100,37m 43s,30,53/5,41,51/29,1,2/0,958 914 483,590,590
ppms,j,,,22,29,1 080 763 389,32.8,707.23,100,773.56,100,24m 41s,12,23/2,41,56/28,0,0/0,1 080 739 634,3,3
paf,03a,,,19,26,994 418 219,30.1,992.72,100,1045.35,101,33m 58s,22,42/3,40,54/27,1,1/0,994 402 347,164,164
paf,03a,-a0,,19,26,994 417 696,30.1,996.19,100,1047.49,101,34m  4s,22,42/3,40,53/27,1,1/0,994 401 824,164,164
m99,2.21,96m,,23,30,1 161 474 702,35.2,728.36,96,450.48,93,19m 39s,6,9/1,40,42/36,0,0/0,1 161 414 606,592,581
bcm,0.11,-b118,,18,24,963 738 614,29.2,1287.56,100,998.7,100,38m  6s,28,46/5,40,46/32,1,2/0,963 679 106,594,594
ppmd,sh8,/m590 /o6,,17,26,977 588 543,29.6,1123.02,100,1173.69,100,38m 17s,24,45/4,38,50/26,1,1/0,977 543 388,594,594
ppmd,sh8,/m590 /o16,,15,22,942 394 965,28.6,1263.86,100,1314.33,100,42m 58s,32,59/5,38,50/26,2,3/0,942 349 810,594,594
bcm,0.07,-b120000,,17,25,958 976 205,29.1,1357.52,100,1089.65,100,40m 47s,28,46/5,38,44/29,1,2/0,958 914 498,590,590
ppmd,sh8,/m590 /o6 /e,,19,27,992 610 056,30.1,1143.69,100,1201.73,100,39m  5s,20,37/3,35,47/24,1,1/0,992 564 901,594,594
flashzip,0.99b8,-m3 -c7 -b7,,8,7,852 000 822,25.8,3637.28,100,146.06,100,1h  3m  3s,59,56/118,35,24/313,8,7/16,851 881 221,389,356
bzip,0.21,,,27,29,1 115 973 584,33.8,1108.02,100,495.3,100,26m 43s,7,10/2,34,32/38,0,0/0,1 115 947 024,9,7
uharc,0.6b,-mdp -mx,,5,5,747 273 011,22.6,3182.8,100,2664.78,100,1h 37m 28s,121,206/21,32,38/24,51,87/9,747 163 269,54,54
bcm,0.08,e118,,16,23,955 414 069,29,1641.73,100,1377.01,100,50m 19s,23,39/4,31,37/24,1,2/0,955 352 035,595,594
zcm,0.03,c5,,5,5,739 820 406,22.4,3351.5,100,3277.89,100,1h 50m 29s,116,212/18,29,37/20,53,97/8,739 792 761,408,408
nanozip,0.09a,-m.5g -cc,*****,0,0,623 643 550,18.9,4904.45,102,4792.47,101,2h 41m 37s,290,528/46,29,37/20,481,877/76,623 520 670,528,522
ppmd,sh8,/m590 /o6 /r,,19,26,967 809 379,29.3,1595.01,100,1647.65,100,54m  3s,19,35/3,28,36/19,1,1/0,967 764 224,594,594
nanozip,0.08a,-m.5g -cc,****,1,1,625 721 115,19,5004.31,101,4823.78,100,2h 43m 48s,279,505/44,28,36/20,453,821/72,625 591 579,552,547
nanozip,0.07a,-m.5g -cc,****,2,0,634 850 805,19.2,5119.5,100,4679.89,100,2h 43m 19s,253,446/41,28,34/20,371,655/61,634 733 510,546,545
m1,x2-0.6,6 enwik7.txt,,13,18,919 992 547,27.9,1869.35,100,1918.86,100,1h  3m  8s,28,51/4,28,37/19,2,3/0,919 950 281,517,517
m03,0.2a1,100000000,,17,24,958 790 242,29.1,1832.02,100,1507,100,55m 39s,20,34/3,28,33/21,1,1/0,958 712 742,580,576
ppmd,sh8,/m590 /o6 /e /r,,20,27,981 191 367,29.7,1620.22,100,1680.95,100,55m  1s,16,30/2,26,34/18,0,1/0,981 146 212,594,594
lzturbo,0.95,-p0 -59,**,13,1,899 105 522,27.2,4370.11,100,26.18,330,1h 13m 16s,30,28/391,26,17/1492,2,2/30,899 005 329,552,342
lzop,1.03,-9,*,27,3,1 359 611 931,41.2,930.76,100,10.44,100,15m 41s,1,1/6,26,17/806,0,0/0,1 359 558 662,2,2
cmm4,0.1e,75,,6,6,766 629 366,23.2,3382.41,100,3436.73,100,1h 53m 39s,84,156/13,26,34/18,28,53/4,766 601 938,522,522
lzturbo,0.95,-p0 -39,½**,22,0,998 922 993,30.3,3221.97,100,11.47,274,53m 53s,13,12/294,25,16/2442,0,0/8,998 822 800,552,357
mcomp,2,-M256M -mf3,*,6,3,760 902 054,23.1,6828.7,100,398.77,100,2h  0m 27s,84,82/119,25,17/155,31,30/43,760 761 428,535,261
m99,2.21,-m 96m,,28,30,1 087 166 659,32.9,1298.38,98,1178.95,98,41m 17s,7,12/1,24,30/18,0,0/0,1 087 106 563,592,581
ppmd,sh8,/m590 /o8 /r,,16,23,943 918 892,28.6,2063.92,100,2119.86,100,1h  9m 44s,19,36/3,23,31/16,1,2/0,943 873 737,594,594
ppmd,Jr1,-m256 -r1 -o8,,20,27,979 738 546,29.7,1859.17,100,1938.92,100,1h  3m 18s,14,27/2,23,30/15,0,1/0,979 714 052,259,259
paf,03a,-r1,,21,28,993 340 485,30.1,1853.66,100,1903.55,100,1h  2m 37s,12,23/2,22,29/15,0,1/0,993 324 613,164,164
ppmd,sh8,/m256 /o8 /e /r,,20,27,978 667 175,29.7,2039.69,100,2102.38,100,1h  9m  2s,13,25/2,21,28/14,0,1/0,978 622 020,258,258
lzturbo,0.95,-p0 -29,½**,27,0,1 057 859 264,32.1,3170.34,100,10.4,241,53m  1s,7,7/169,21,14/2212,0,0/2,1 057 759 071,552,365
zzip,0.36c,-mx -a -15m,,29,29,1 096 718 393,33.2,2344.55,100,596.47,100,49m  1s,5,6/2,20,16/34,0,0/0,1 096 694 707,183,80
bcm,0.09,-b118,,17,24,945 045 025,28.6,2691.01,100,2319.61,100,1h 23m 31s,16,27/3,19,23/14,1,1/0,944 980 651,603,603
lpaq,8,7,,5,5,728 206 074,22.1,5069.85,100,5113.64,100,2h 49m 43s,86,160/13,19,26/14,45,83/7,728 195 346,394,394
lzturbo,0.95,-p0 -19,**,30,1,1 127 755 660,34.2,3225.78,100,10.5,217,53m 56s,3,3/77,16,11/1736,0,0/0,1 127 655 467,552,354
ppmd,sh8,/m590 /o16 /r,,14,21,936 667 966,28.4,3111.94,100,3175.34,100,1h 44m 47s,14,26/2,16,21/11,1,1/0,936 622 811,594,594
bred,3,-M16 -m729,,28,27,1 488 622 379,45.1,977.78,100,264.9,100,20m 43s,0,0/0,13,10/21,0,0/0,1 488 616 252,78,63
ppmonstr,Jr1,-m600 -o16,,6,6,734 521 831,22.3,9663.08,100,9750.66,100,5h 23m 34s,42,78/7,10,13/7,20,38/3,734 484 202,609,609
lzrw,0,5,,14,13,1 996 068 499,60.5,317.04,100,18.19,99,5m 35s,0,0/0,9,6/55,0,0/0,1 996 063 946,2,2
bred,3,-M100 -m729,,29,28,1 528 637 218,46.3,1288.9,100,282.31,100,26m 11s,0,0/0,9,7/17,0,0/0,1 528 631 091,481,480
ecp,0.e.s,-p -b100,,30,30,1 106 124 760,33.5,7308.52,100,618.67,100,2h 12m  7s,2,2/2,7,5/32,0,0/0,1 106 114 189,64,64
fpaq,c,,,23,30,1 864 155 834,56.5,567.69,100,418.61,100,16m 26s,0,0/0,5,5/4,0,0/0,1 864 151 029,3,2
copy,1.1,-k,*****,0,0,3 317 341 140,100.5,4.12,99,4.67,99,9s,0,0/0,4,6/3,0,0/0,3 317 337 856,2,2
copy,1.1,,***,1,3,3 317 341 140,100.5,5.81,99,6.14,96,12s,0,0/0,3,4/2,0,0/0,3 317 337 856,1,1
copy,0,,½***,0,3,3 317 339 557,100.5,5.56,100,6.09,96,12s,0,0/0,3,4/2,0,0/0,3 317 337 856,1,1
uharc,0.6b,-mr,,13,16,2 741 467 883,83.1,78.69,99,81.66,99,2m 40s,0,0/0,2,2/1,0,0/0,2 741 358 141,6,6
fpaq,0,,,21,31,2 285 851 049,69.3,486.7,100,530.79,100,16m 57s,0,0/0,1,1/1,0,0/0,2 285 847 269,2,2
