Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
nanozip,0.07a,-m.5g -cF,½*,2,12,1 068 230 225,32.4,59.7,112,77.89,109,2m 18s,146,310/20,464,697/285,2,4/0,1 068 112 930,520,520
pigz,2.1.4,-7,½,6,4,1 225 851 374,37.1,65.23,396,18.92,162,1m 24s,41,49/14,449,377/695,0,0/0,1 225 785 602,6,2
slug,1.27b,,**,1,12,1 170 268 191,35.5,49.01,100,54.23,100,1m 43s,63,121/9,440,604/292,0,0/0,1 170 261 000,14,15
nanozip,0.08a,-m.5g -cD,½***,2,1,842 991 159,25.5,272.09,107,42.5,164,5m 15s,779,831/450,430,324/1108,113,121/65,842 861 623,560,347
lzturbo,0.95,-44,**,7,1,1 123 058 968,34,108.19,363,15.97,348,2m  4s,88,93/53,428,321/1160,1,1/0,1 122 958 775,432,192
freearc,0.666,-m4,½***,1,2,761 362 930,23.1,324.67,313,94.5,222,6m 59s,1449,1725/501,424,357/654,521,620/180,761 287 154,363,320
tornado,0.4a,-4,*,5,3,1 167 751 034,35.4,80.36,100,31.53,99,1m 52s,59,76/16,410,372/506,0,0/0,1 167 706 138,22,11
lz4,0.9,-t1,,6,6,1 681 259 224,50.9,13.84,136,6.61,165,20s,1,1/0,404,389/436,0,0/0,1 681 221 210,34,34
slug,1.27,,½,4,13,1 206 232 236,36.6,47.76,100,52.92,100,1m 41s,43,84/6,400,550/265,0,0/0,1 206 225 897,14,15
bsc,2.4.5,-b1 -m1f -p,*,3,15,1 074 266 639,32.6,74.3,383,85.12,389,2m 39s,118,233/17,393,549/256,1,3/0,1 074 175 954,27,24
slug,1.24,,,5,12,1 210 060 730,36.7,51.5,99,50.05,100,1m 42s,41,74/6,392,504/277,0,0/0,1 210 054 797,22,23
bsc,2.3.0,-b1 -m1f -p,½,4,16,1 074 266 639,32.6,74.42,383,85.31,389,2m 40s,117,232/17,392,548/255,1,3/0,1 074 175 954,27,24
tornado,0.4a,-3,½,4,6,1 289 807 426,39.1,46.76,99,31.9,99,1m 19s,22,34/4,388,425/333,0,0/0,1 289 762 530,14,11
nanozip,0.07a,-m.5g -cD,***,2,2,843 144 052,25.5,270.31,100,80.08,100,5m 50s,699,835/238,386,326/588,101,121/35,843 026 757,552,327
freearc,0.6,-m2,*,3,10,921 161 843,27.9,180.7,120,91.14,134,4m 32s,378,525/88,384,376/398,23,32/5,921 088 115,404,243
bsc,2.4.5,-b1 -m0f -pr,½,4,12,1 064 871 541,32.3,90.56,386,79.78,388,2m 50s,122,212/20,379,465/282,2,3/0,1 064 780 856,27,24
bsc,2.3.0,-b1 -m0f -pr,,5,13,1 064 871 541,32.3,90.66,386,80.42,388,2m 51s,122,212/20,378,464/280,2,3/0,1 064 780 856,27,24
bsc,2.2.5,-b1 -m1f -p,,5,17,1 074 266 639,32.6,82.36,386,85.95,388,2m 48s,111,210/17,372,495/253,1,2/0,1 074 175 954,27,24
